Market,Tracked,Winner,Updates,Lifetime,MidChanges,MeanSpread_c,OFTurnover
Lakers vs Rockets,Lakers,Lakers,406120,14d 15h,54906,1.8291627890945434,7167623005.6
Timberwolves vs Nuggets,Wolves,Timberwolves,347075,13d 16h,24443,2.7402169893111985,4445400200.56
76ers vs Celtics,76ers,76ers,288151,15d 13h,68198,1.7781139849977803,6526912640.659999
Raptors vs Cavaliers,Raptors,Cavaliers,277046,16d 12h,59013,2.531086066667175,3701782983.6400003
Pistons vs Magic,Pistons,Pistons,260332,15d 7h,32616,2.3568338580393506,4303752368.41
Spurs vs Trail Blazers,Spurs,Spurs,127975,11d 15h,20059,2.390338584733222,1845939263.85
Knicks vs Hawks,Knicks,Knicks,126891,13d 12h,6590,3.1563076843751605,1283808926.23
Spurs vs Timberwolves,Spurs,Spurs,125728,14d 13h,6928,2.0856105511435414,2010768856.0
Cavaliers vs Pistons,Cavs,Cavaliers,114162,13d 13h,10461,4.159749689313357,5745638519.51
Thunder vs Lakers,Thunder,Thunder,52398,9d 18h,5039,1.0506666666666657,638061939.91
Knicks vs 76ers,Knicks,Knicks,49072,6d 9h,5482,2.0739588811258862,3651441807.25
Suns vs Thunder,Suns,Thunder,44636,9d 13h,3952,1.2418246658285654,399670809.76000005
